stop_id;stop_name;stop_lat;stop_lon;transport_mode
par_4_1      ;PLAZA DE CASTILLA                 ;40.4669;-3.68917;metro               
acc_4_1_1    ;Plaza de Castilla                 ;40.46682;-3.68918;metro               
acc_4_1_1040 ;Ascensor                          ;40.46555;-3.68877;metro               
acc_4_1_1043 ;Intercambiador Superficie         ;40.46728;-3.68915;metro               
acc_4_1_1044 ;Ascensor                          ;40.46702;-3.68918;metro               
acc_4_1_4    ;Paseo Castellana pares            ;40.46546;-3.68891;metro               
acc_4_1_773  ;Intercambiador                    ;40.46621;-3.69028;metro               
par_4_10     ;TRIBUNAL                          ;40.42619;-3.7011;metro               
acc_4_10_1102;Barceló - Ascensor                ;40.4263;-3.70067;metro               
acc_4_10_35  ;Fuencarral                        ;40.4262;-3.70103;metro               
acc_4_10_36  ;Tribunal de Cuentas               ;40.42569;-3.70111;metro               
par_4_11     ;GRAN VIA                          ;40.42001;-3.7018;metro               
acc_4_11_1105;Montera - Ascensor                ;40.41986;-3.70158;metro               
acc_4_11_38  ;Gran Vía                          ;40.41992;-3.70183;metro               
acc_4_11_39  ;Fuencarral                        ;40.42013;-3.70181;metro               
par_4_12     ;SOL                               ;40.41688;-3.70326;metro               
acc_4_12_1034;Alcalá                            ;40.41707;-3.70296;metro               
acc_4_12_41  ;Carretas                          ;40.41665;-3.70353;metro               
acc_4_12_42  ;Carmen                            ;40.41714;-3.70329;metro               
acc_4_12_776 ;Ascensor                          ;40.41667;-3.70441;metro               
acc_4_12_777 ;Preciados                         ;40.41724;-3.70415;metro               
par_4_13     ;TIRSO DE MOLINA                   ;40.41235;-3.70466;metro               
par_4_14     ;ANTON MARTIN                      ;40.41246;-3.69937;metro               
acc_4_14_46  ;Amor de Dios                      ;40.4123;-3.69865;metro               
acc_4_14_49  ;Atocha impares                    ;40.41152;-3.69733;metro               
acc_4_14_50  ;Atocha pares                      ;40.41142;-3.69742;metro               
par_4_15     ;ESTACION DEL ARTE                 ;40.40885;-3.69249;metro               
acc_4_15_52  ;Ministerio                        ;40.40841;-3.69052;metro               
par_4_16     ;ATOCHA                            ;40.40659;-3.68938;metro               
acc_4_16_53  ;Alfonso XII                       ;40.40754;-3.68916;metro               
acc_4_16_54  ;Paseo Infanta Isabel              ;40.40701;-3.68818;metro               
par_4_17     ;MENENDEZ PELAYO                   ;40.40445;-3.68098;metro               
acc_4_17_57  ;Menéndez Pelayo impares           ;40.40443;-3.68067;metro               
acc_4_17_58  ;Menéndez Pelayo pares             ;40.40452;-3.68091;metro               
acc_4_17_59  ;Gutenberg                         ;40.40489;-3.68171;metro               
par_4_18     ;PACIFICO                          ;40.40126;-3.67514;metro               
acc_4_18_1050;Ascensor                          ;40.40157;-3.67428;metro               
acc_4_18_60  ;Doctor Esquerdo pares             ;40.40155;-3.67479;metro               
acc_4_18_61  ;Doctor Esquerdo impares           ;40.40147;-3.67438;metro               
acc_4_18_62  ;Sánchez Barcaíztegui              ;40.4023;-3.67615;metro               
par_4_19     ;PUENTE DE VALLECAS                ;40.39819;-3.66906;metro               
acc_4_19_63  ;Albufera pares                    ;40.39766;-3.66815;metro               
acc_4_19_64  ;Albufera impares                  ;40.3978;-3.66808;metro               
acc_4_19_65  ;Peña Prieta                       ;40.39851;-3.66897;metro               
par_4_2      ;VALDEACEDERAS                     ;40.46442;-3.69506;metro               
acc_4_2_5    ;Capitán Blanco Argibay            ;40.46409;-3.69577;metro               
par_4_20     ;NUEVA NUMANCIA                    ;40.39554;-3.66414;metro               
acc_4_20_66  ;Avenida de la Albufera pares (N)  ;40.39615;-3.66527;metro               
acc_4_20_67  ;Avenida de la Albufera impares (N);40.39626;-3.66517;metro               
acc_4_20_68  ;Avenida de la Albufera impares (S);40.39536;-3.66341;metro               
acc_4_20_69  ;Avenida de la Albufera pares (S)  ;40.39523;-3.66352;metro               
par_4_21     ;PORTAZGO                          ;40.39266;-3.65868;metro               
acc_4_21_1093;Ascensor 1                        ;40.39297;-3.65884;metro               
acc_4_21_1094;Ascensor 2                        ;40.3927;-3.65886;metro               
acc_4_21_70  ;Albufera pares                    ;40.3933;-3.65985;metro               
acc_4_21_73  ;Teniente Muñoz Díaz               ;40.39224;-3.65785;metro               
par_4_22     ;BUENOS AIRES                      ;40.39156;-3.65391;metro               
acc_4_22_74  ;Pío Felipe                        ;40.39172;-3.65401;metro               
par_4_23     ;ALTO DEL ARENAL                   ;40.38977;-3.64522;metro               
acc_4_23_76  ;Albufera impares                  ;40.39015;-3.64527;metro               
acc_4_23_77  ;Albufera pares                    ;40.38969;-3.64562;metro               
par_4_24     ;MIGUEL HERNANDEZ                  ;40.38732;-3.63951;metro               
acc_4_24_80  ;Albufera pares                    ;40.38686;-3.63959;metro               
acc_4_24_81  ;Aparcamiento                      ;40.38706;-3.6398;metro               
acc_4_24_82  ;Ascensor                          ;40.38737;-3.63971;metro               
par_4_25     ;SIERRA DE GUADALUPE               ;40.38216;-3.62472;metro               
acc_4_25_577 ;Acceso Glorieta RENFE             ;40.38196;-3.62453;metro               
acc_4_25_83  ;Avenida de la Democracia          ;40.38224;-3.62498;metro               
acc_4_25_84  ;Correspondencia RENFE             ;40.38208;-3.62467;metro               
acc_4_25_85  ;Ascensor exterior RENFE           ;40.38208;-3.62473;metro               
acc_4_25_86  ;Avda. de la Democracia - Arboleda ;40.3831;-3.62508;metro               
par_4_26     ;VILLA DE VALLECAS                 ;40.3796;-3.6213;metro               
acc_4_26_87  ;Pº Federico García Lorca          ;40.37933;-3.62105;metro               
acc_4_26_88  ;Sierra Vieja                      ;40.37978;-3.62187;metro               
acc_4_26_89  ;Ascensor                          ;40.37949;-3.62103;metro               
par_4_261    ;CHAMARTIN                         ;40.47203;-3.68259;metro               
acc_4_261_642;Ascensor                          ;40.47323;-3.68313;metro               
par_4_262    ;BAMBU                             ;40.47682;-3.67637;metro               
acc_4_262_643;Bambú                             ;40.47683;-3.67642;metro               
acc_4_262_644;Ascensor                          ;40.47705;-3.67684;metro               
par_4_263    ;PINAR DE CHAMARTIN                ;40.48014;-3.6668;metro               
par_4_27     ;CONGOSTO                          ;40.37238;-3.61884;metro               
acc_4_27_90  ;Congosto                          ;40.372;-3.61866;metro               
acc_4_27_91  ;Plaza de Congosto                 ;40.37233;-3.61867;metro               
